data,bairro,tipo_crime,quantidade,zona,fonte,latitude,longitude,observacoes
2024-01-01,Vila Nova,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Três Figueiras,Lesão corporal,5.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Três Figueiras,Furto,21.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Três Figueiras,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,São José,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,São Geraldo,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São Geraldo,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São Geraldo,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São Geraldo,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São Geraldo,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São Geraldo,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São José,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Serraria,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Serraria,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Serraria,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Serraria,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Santo Antônio,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Santo Antônio,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Santo Antônio,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Santo Antônio,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Serraria,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,São José,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,São José,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,São José,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Tristeza,Tráfico de drogas,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Tristeza,Roubo de veículo,3.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Tristeza,Roubo,7.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Tristeza,Lesão corporal,6.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Tristeza,Furto,16.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Tristeza,Ameaça,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Sétimo Céu,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Sétimo Céu,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Sétimo Céu,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Sétimo Céu,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Sétimo Céu,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,São João,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São João,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São João,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São João,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São João,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,São João,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Santa Cecília,Roubo de veículo,4.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Jardim do Salso,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Vila dos Comerciários,Estelionato,,Norte,Modelo UFRGS (estimado),-30.10755049946019,-51.27310202750264,Dados estimados baseados no modelo UFRGS para Vila dos Comerciários
2024-01-01,Jardim do Salso,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Campo Novo,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Camaquã,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Camaquã,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Camaquã,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Camaquã,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Camaquã,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Boa Vista,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Campo Novo,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Boa Vista,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Boa Vista,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Boa Vista,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Belém Velho,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Velho,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Velho,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Velho,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Velho,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Boa Vista,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Belém Novo,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Campo Novo,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Campo Novo,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Chapéu do Sol,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Chapéu do Sol,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Chapéu do Sol,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Chapéu do Sol,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Centro Histórico,Roubo a pedestre,1.0,Centro,Dataset Original,,,
2024-01-01,Centro Histórico,Furto de celular,1.0,Centro,Dataset Original,,,
2024-01-01,Cavalhada,Tráfico de drogas,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Campo Novo,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cavalhada,Roubo de veículo,6.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cavalhada,Lesão corporal,12.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cavalhada,Furto,28.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cavalhada,Ameaça,3.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cascata,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Cascata,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Cascata,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Cascata,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Cavalhada,Roubo,13.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Novo,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Novo,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Belém Novo,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Anchieta,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Anchieta,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Anchieta,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Anchieta,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Anchieta,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Anchieta,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Agronomia,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Arquipélago,Ameaça,1.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Agronomia,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Agronomia,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Agronomia,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Aberta dos Morros,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Jardim do Salso,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Aberta dos Morros,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Aberta dos Morros,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Aberta dos Morros,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Agronomia,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Arquipélago,Furto,12.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Arquipélago,Lesão corporal,4.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Arquipélago,Roubo,5.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Belém Novo,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Bela Vista,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Bela Vista,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Bela Vista,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Bela Vista,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Bela Vista,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Azenha,Roubo de veículo,2.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Azenha,Roubo,4.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Azenha,Lesão corporal,3.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Azenha,Furto,11.0,Centro,SSP-RS (distribuído),,,
2024-01-01,Auxiliadora,Tráfico de drogas,2.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Auxiliadora,Roubo de veículo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Auxiliadora,Roubo,13.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Auxiliadora,Lesão corporal,9.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Auxiliadora,Furto,24.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Auxiliadora,Ameaça,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Arquipélago,Roubo de veículo,2.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Chapéu do Sol,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Coronel Aparício Borges,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cascata,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Coronel Aparício Borges,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ipanema,Furto,12.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ipanema,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Independência,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Independência,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Coronel Aparício Borges,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Independência,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Independência,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Ipanema,Lesão corporal,5.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Independência,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Ilha do Pavão,Roubo,5.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha do Pavão,Lesão corporal,4.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha do Pavão,Furto,12.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha do Pavão,Ameaça,1.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha da Pintada,Roubo de veículo,2.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha da Pintada,Roubo,5.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha da Pintada,Lesão corporal,4.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha do Pavão,Roubo de veículo,2.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ipanema,Roubo,5.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ipanema,Roubo de veículo,3.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Ipanema,Tráfico de drogas,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Jardim do Salso,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Jardim São Pedro,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim São Pedro,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim São Pedro,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim São Pedro,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim São Pedro,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim São Pedro,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Lindóia,Tráfico de drogas,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Lindóia,Roubo de veículo,3.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Lindóia,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Lindóia,Lesão corporal,4.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Lindóia,Furto,12.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Lindóia,Ameaça,1.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Jardim Botânico,Roubo de veículo,2.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Jardim Botânico,Roubo,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Jardim Botânico,Lesão corporal,2.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Jardim Botânico,Furto,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Ilha da Pintada,Furto,12.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Ilha da Pintada,Ameaça,1.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Independência,Roubo,6.0,Norte,SSP-RS (distribuído),,,
2024-01-01,Hípica,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Glória,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Glória,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Glória,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Glória,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Espírito Santo,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Espírito Santo,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Espírito Santo,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Glória,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Espírito Santo,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cristal,Roubo de veículo,3.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Cristal,Roubo,7.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Hípica,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cristal,Furto,14.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Cristal,Ameaça,1.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Coronel Aparício Borges,Roubo de veículo,2.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Coronel Aparício Borges,Roubo,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Espírito Santo,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Guarujá,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Cristal,Lesão corporal,4.0,Leste,SSP-RS (distribuído),,,
2024-01-01,Guarujá,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Hípica,Lesão corporal,4.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Hípica,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Hípica,Ameaça,1.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Guarujá,Furto,9.0,Sul,SSP-RS (distribuído),,,
2024-01-01,Humaitá,Roubo,5.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Humaitá,Lesão corporal,4.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Humaitá,Furto,12.0,Oeste,SSP-RS (distribuído),,,
2024-01-01,Humaitá,Ameaça,1.0,Oeste,SSP-RS (distribuído),,,
